DTG,Track name, x (m), y (m), z (m), course (degs), speed (m/s), dem course (Degs), dem speed (m/s), dem depth (m), fuel, activity
100112 120000,SUBJECT,16000.00 ,12000.00 ,0.00 ,320.00 ,4.63 ,320.00 ,4.63 ,0.00 ,100.00 ,subject route:leg one:Heading for target location
100112 120050,SUBJECT,15851.19 ,12177.34 ,0.00 ,320.00 ,4.63 ,320.00 ,4.63 ,0.00 ,100.00 ,subject route:leg one:Heading for target location
100112 120140,SUBJECT,15702.39 ,12354.68 ,0.00 ,320.00 ,4.63 ,320.00 ,4.63 ,0.00 ,100.00 ,subject route:leg one:Heading for target location
100112 120230,SUBJECT,15553.58 ,12532.02 ,0.00 ,320.00 ,4.63 ,320.00 ,4.63 ,0.00 ,100.00 ,subject route:leg one:Heading for target location
100112 120320,SUBJECT,15404.78 ,12709.36 ,0.00 ,320.00 ,4.63 ,320.00 ,4.63 ,0.00 ,100.00 ,subject route:leg one:Heading for target location
100112 120410,SUBJECT,15255.97 ,12886.70 ,0.00 ,320.00 ,4.63 ,320.00 ,4.63 ,0.00 ,100.00 ,subject route:leg one:Heading for target location
100112 120500,SUBJECT,15107.17 ,13064.04 ,0.00 ,320.00 ,4.63 ,320.00 ,4.63 ,0.00 ,100.00 ,subject route:leg one:Heading for target location
100112 120550,SUBJECT,14958.36 ,13241.38 ,0.00 ,320.00 ,4.63 ,320.00 ,4.63 ,0.00 ,100.00 ,subject route:leg one:Heading for target location
100112 120640,SUBJECT,14809.55 ,13418.71 ,0.00 ,320.00 ,4.63 ,320.00 ,4.63 ,0.00 ,100.00 ,subject route:leg one:Heading for target location
100112 120730,SUBJECT,14660.75 ,13596.05 ,0.00 ,320.00 ,4.63 ,320.00 ,4.63 ,0.00 ,100.00 ,subject route:leg one:Heading for target location
100112 120820,SUBJECT,14511.94 ,13773.39 ,0.00 ,320.00 ,4.63 ,320.00 ,4.63 ,0.00 ,100.00 ,subject route:leg one:Heading for target location
100112 120910,SUBJECT,14363.14 ,13950.73 ,0.00 ,320.00 ,4.63 ,320.00 ,4.63 ,0.00 ,100.00 ,subject route:leg one:Heading for target location
100112 121000,SUBJECT,14214.33 ,14128.07 ,0.00 ,320.00 ,4.63 ,320.00 ,4.63 ,0.00 ,100.00 ,subject route:leg one:Heading for target location
100112 121050,SUBJECT,14065.53 ,14305.41 ,0.00 ,320.00 ,4.63 ,320.00 ,4.63 ,0.00 ,100.00 ,subject route:leg one:Heading for target location
100112 121140,SUBJECT,13916.72 ,14482.75 ,0.00 ,320.00 ,4.63 ,320.00 ,4.63 ,0.00 ,100.00 ,subject route:leg one:Heading for target location
100112 121230,SUBJECT,13767.92 ,14660.09 ,0.00 ,320.00 ,4.63 ,320.00 ,4.63 ,0.00 ,100.00 ,subject route:leg one:Heading for target location
100112 121320,SUBJECT,13619.11 ,14837.43 ,0.00 ,320.00 ,4.63 ,320.00 ,4.63 ,0.00 ,100.00 ,subject route:leg one:Heading for target location
