DTG,Track name, x (m), y (m), z (m), course (degs), speed (m/s), dem course (Degs), dem speed (m/s), dem depth (m), fuel, activity
100112 120000,SENSOR,0.00 ,6689424.00 ,-0.00 ,40.00 ,1.29 ,200.00 ,1.29 ,-0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 120050,SENSOR,90.77 ,6689469.73 ,-0.00 ,49.21 ,1.29 ,200.00 ,1.29 ,-0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 120140,SENSOR,195.09 ,6689507.66 ,-0.00 ,58.42 ,1.29 ,200.27 ,1.29 ,-0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 120230,SENSOR,310.29 ,6689536.79 ,-0.00 ,67.63 ,1.29 ,200.63 ,1.29 ,-0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 120320,SENSOR,433.39 ,6689556.39 ,-0.00 ,76.84 ,1.29 ,201.07 ,1.29 ,-0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 120410,SENSOR,561.21 ,6689565.94 ,-0.00 ,86.06 ,1.29 ,201.57 ,1.29 ,-0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 120500,SENSOR,690.47 ,6689565.20 ,-0.00 ,95.27 ,1.29 ,202.12 ,1.29 ,-0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 120550,SENSOR,817.81 ,6689554.18 ,-0.00 ,104.48 ,1.29 ,202.71 ,1.29 ,-0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 120640,SENSOR,939.97 ,6689533.18 ,-0.00 ,113.69 ,1.29 ,203.32 ,1.29 ,-0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 120730,SENSOR,1053.78 ,6689502.73 ,-0.00 ,122.90 ,1.29 ,203.95 ,1.29 ,-0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 120820,SENSOR,1156.32 ,6689463.62 ,-0.00 ,132.11 ,1.29 ,204.58 ,1.29 ,-0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 120910,SENSOR,1244.94 ,6689416.86 ,-0.00 ,141.32 ,1.29 ,205.20 ,1.29 ,-0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 121000,SENSOR,1317.35 ,6689363.65 ,-0.00 ,150.53 ,1.29 ,205.79 ,1.29 ,-0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 121050,SENSOR,1371.69 ,6689305.37 ,-0.00 ,159.74 ,1.29 ,206.34 ,1.29 ,-0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 121140,SENSOR,1406.56 ,6689243.51 ,-0.00 ,168.96 ,1.29 ,206.85 ,1.29 ,-0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 121230,SENSOR,1421.06 ,6689179.68 ,-0.00 ,178.17 ,1.29 ,207.28 ,1.29 ,-0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 121320,SENSOR,1414.80 ,6689115.52 ,-0.00 ,187.38 ,1.29 ,207.65 ,1.29 ,-0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 121410,SENSOR,1387.97 ,6689052.69 ,-0.00 ,196.59 ,1.29 ,207.93 ,1.29 ,-0.00 ,100.00 ,sensor route:leg one:Heading for target location
