DTG,Track name, x (m), y (m), z (m), course (degs), speed (m/s), dem course (Degs), dem speed (m/s), dem depth (m), fuel, activity
100112 120000,SUBJECT,0.00 ,0.00 ,0.00 ,320.00 ,4.12 ,320.00 ,4.12 ,0.00 ,100.00 ,subject route:leg one:Heading for target location
100112 120047,SUBJECT,-124.34 ,148.18 ,0.00 ,320.00 ,4.12 ,320.00 ,4.12 ,0.00 ,100.00 ,subject route:leg one:Heading for target location
100112 120134,SUBJECT,-248.67 ,296.35 ,0.00 ,320.00 ,4.12 ,320.00 ,4.12 ,0.00 ,100.00 ,subject route:leg one:Heading for target location
100112 120221,SUBJECT,-373.01 ,444.53 ,0.00 ,320.00 ,4.12 ,320.00 ,4.12 ,0.00 ,100.00 ,subject route:leg one:Heading for target location
100112 120308,SUBJECT,-497.34 ,592.71 ,0.00 ,320.00 ,4.12 ,320.00 ,4.12 ,0.00 ,100.00 ,subject route:leg one:Heading for target location
100112 120355,SUBJECT,-621.68 ,740.88 ,0.00 ,320.00 ,4.12 ,320.00 ,4.12 ,0.00 ,100.00 ,subject route:leg one:Heading for target location
100112 120442,SUBJECT,-746.01 ,889.06 ,0.00 ,320.00 ,4.12 ,320.00 ,4.12 ,0.00 ,100.00 ,subject route:leg one:Heading for target location
100112 120529,SUBJECT,-870.35 ,1037.24 ,0.00 ,320.00 ,4.12 ,320.00 ,4.12 ,0.00 ,100.00 ,subject route:leg one:Heading for target location
100112 120616,SUBJECT,-994.68 ,1185.41 ,0.00 ,320.00 ,4.12 ,320.00 ,4.12 ,0.00 ,100.00 ,subject route:leg one:Heading for target location
100112 120703,SUBJECT,-1119.02 ,1333.59 ,0.00 ,320.00 ,4.12 ,320.00 ,4.12 ,0.00 ,100.00 ,subject route:leg one:Heading for target location
100112 120750,SUBJECT,-1243.35 ,1481.77 ,0.00 ,320.00 ,4.12 ,320.00 ,4.12 ,0.00 ,100.00 ,subject route:leg one:Heading for target location
100112 120837,SUBJECT,-1367.69 ,1629.95 ,0.00 ,320.00 ,4.12 ,320.00 ,4.12 ,0.00 ,100.00 ,subject route:leg one:Heading for target location
