DTG,Track,X,Y,Z,Course,Speed,(m),,z,(m),
100112 140047,SENSOR,0,0,0,113,3.9,0,0,0,0,aa
100112 140147,SENSOR,0,0,0,109.9,3.8,0,0,0,0,aa
100112 140247,SENSOR,0,0,0,113.3,3.8,0,0,0,0,aa
100112 140347,SENSOR,0,0,0,115.4,3.9,0,0,0,0,aa
100112 140447,SENSOR,0,0,0,114.3,3.9,0,0,0,0,aa
100112 140547,SENSOR,0,0,0,113.2,3.9,0,0,0,0,aa
100112 140647,SENSOR,0,0,0,120.1,4,0,0,0,0,aa
100112 140747,SENSOR,0,0,0,113.2,3.9,0,0,0,0,aa
100112 140847,SENSOR,0,0,0,113,3.9,0,0,0,0,aa
100112 140947,SENSOR,0,0,0,121,4.1,0,0,0,0,aa
100112 141047,SENSOR,0,0,0,118.3,4,0,0,0,0,aa
100112 141147,SENSOR,0,0,0,117.2,4,0,0,0,0,aa
100112 141247,SENSOR,0,0,0,115.4,3.9,0,0,0,0,aa
100112 141347,SENSOR,0,0,0,114.3,3.9,0,0,0,0,aa
100112 141447,SENSOR,0,0,0,114,3.9,0,0,0,0,aa
100112 141547,SENSOR,0,0,0,117.9,4,0,0,0,0,aa
100112 141647,SENSOR,0,0,0,119.9,4.1,0,0,0,0,aa
100112 141747,SENSOR,0,0,0,116.4,3.9,0,0,0,0,aa
100112 141847,SENSOR,0,0,0,113.2,3.9,0,0,0,0,aa
100112 141947,SENSOR,0,0,0,113.2,3.9,0,0,0,0,aa
100112 142047,SENSOR,0,0,0,117,4,0,0,0,0,aa
100112 142147,SENSOR,0,0,0,115.4,3.9,0,0,0,0,aa
100112 142247,SENSOR,0,0,0,116.4,3.9,0,0,0,0,aa
100112 142347,SENSOR,0,0,0,113,3.9,0,0,0,0,aa
100112 142447,SENSOR,0,0,0,109.8,3.8,0,0,0,0,aa
100112 142547,SENSOR,0,0,0,115.8,4,0,0,0,0,aa
100112 142647,SENSOR,0,0,0,113.9,3.9,0,0,0,0,aa
100112 142747,SENSOR,0,0,0,113.7,4,0,0,0,0,aa
100112 142847,SENSOR,0,0,0,113.7,4,0,0,0,0,aa
100112 142947,SENSOR,0,0,0,114.4,4,0,0,0,0,aa
100112 143047,SENSOR,0,0,0,113.6,4,0,0,0,0,aa
100112 143147,SENSOR,0,0,0,117.6,4.4,0,0,0,0,aa
100112 143247,SENSOR,0,0,0,115.2,4.3,0,0,0,0,aa
100112 143347,SENSOR,0,0,0,112.6,4.1,0,0,0,0,aa
100112 143447,SENSOR,0,0,0,115.6,4.2,0,0,0,0,aa
100112 143547,SENSOR,0,0,0,118.5,4.2,0,0,0,0,aa
100112 143647,SENSOR,0,0,0,113.9,4.1,0,0,0,0,aa
100112 143747,SENSOR,0,0,0,111.8,4.1,0,0,0,0,aa
100112 143847,SENSOR,0,0,0,115,4.1,0,0,0,0,aa
100112 143947,SENSOR,0,0,0,114.1,4.1,0,0,0,0,aa
100112 144047,SENSOR,0,0,0,107,3.9,0,0,0,0,aa
100112 144147,SENSOR,0,0,0,110,4,0,0,0,0,aa
100112 144247,SENSOR,0,0,0,110.1,4,0,0,0,0,aa
100112 144347,SENSOR,0,0,0,112.3,4,0,0,0,0,aa
100112 144447,SENSOR,0,0,0,110.3,4,0,0,0,0,aa
100112 144547,SENSOR,0,0,0,107,3.9,0,0,0,0,aa
100112 144647,SENSOR,0,0,0,112.2,4,0,0,0,0,aa
100112 144747,SENSOR,0,0,0,113.1,4,0,0,0,0,aa
100112 144847,SENSOR,0,0,0,112,4,0,0,0,0,aa
100112 144947,SENSOR,0,0,0,116,4.1,0,0,0,0,aa
100112 145047,SENSOR,0,0,0,116,4.1,0,0,0,0,aa
100112 145147,SENSOR,0,0,0,114.4,4,0,0,0,0,aa
100112 145247,SENSOR,0,0,0,113.4,4,0,0,0,0,aa
100112 145347,SENSOR,0,0,0,113.4,4,0,0,0,0,aa
100112 145447,SENSOR,0,0,0,114.5,4,0,0,0,0,aa
100112 145547,SENSOR,0,0,0,115.9,3.8,0,0,0,0,aa
100112 145647,SENSOR,0,0,0,114.3,3.5,0,0,0,0,aa
100112 145747,SENSOR,0,0,0,114.2,3.3,0,0,0,0,aa
100112 145847,SENSOR,0,0,0,115.2,3.2,0,0,0,0,aa
100112 145947,SENSOR,0,0,0,115.7,3.2,0,0,0,0,aa
100112 150047,SENSOR,0,0,0,115.7,3.7,0,0,0,0,aa
100112 150147,SENSOR,0,0,0,113.5,4,0,0,0,0,aa
100112 150247,SENSOR,0,0,0,112,3.9,0,0,0,0,aa
100112 150347,SENSOR,0,0,0,112.3,3.8,0,0,0,0,aa
100112 150447,SENSOR,0,0,0,111.6,3.7,0,0,0,0,aa
100112 150547,SENSOR,0,0,0,111.7,3.7,0,0,0,0,aa
100112 150647,SENSOR,0,0,0,113,3.7,0,0,0,0,aa
100112 150747,SENSOR,0,0,0,113,3.7,0,0,0,0,aa
100112 150847,SENSOR,0,0,0,110.8,3.7,0,0,0,0,aa
100112 150947,SENSOR,0,0,0,105.3,3.5,0,0,0,0,aa
100112 151047,SENSOR,0,0,0,108.8,3.6,0,0,0,0,aa
100112 151147,SENSOR,0,0,0,110.9,3.6,0,0,0,0,aa
100112 151247,SENSOR,0,0,0,111.1,3.6,0,0,0,0,aa
100112 151347,SENSOR,0,0,0,109.9,3.6,0,0,0,0,aa
100112 151447,SENSOR,0,0,0,106.6,3.5,0,0,0,0,aa
100112 151547,SENSOR,0,0,0,106.8,3.5,0,0,0,0,aa
100112 151647,SENSOR,0,0,0,110.1,3.6,0,0,0,0,aa
100112 151747,SENSOR,0,0,0,108.9,3.6,0,0,0,0,aa
100112 151847,SENSOR,0,0,0,108.9,3.6,0,0,0,0,aa
100112 151947,SENSOR,0,0,0,106.8,3.5,0,0,0,0,aa
100112 152047,SENSOR,0,0,0,107.9,3.5,0,0,0,0,aa
100112 152147,SENSOR,0,0,0,106.7,3.5,0,0,0,0,aa
100112 152247,SENSOR,0,0,0,110.1,3.6,0,0,0,0,aa
100112 152347,SENSOR,0,0,0,111.5,3.5,0,0,0,0,aa
100112 152447,SENSOR,0,0,0,107,3.5,0,0,0,0,aa
100112 152547,SENSOR,0,0,0,108.1,3.5,0,0,0,0,aa
100112 152647,SENSOR,0,0,0,111.4,3.6,0,0,0,0,aa
100112 152747,SENSOR,0,0,0,110.6,3.5,0,0,0,0,aa
100112 152847,SENSOR,0,0,0,112.7,3.6,0,0,0,0,aa
100112 152947,SENSOR,0,0,0,112.9,3.5,0,0,0,0,aa
100112 153047,SENSOR,0,0,0,108.2,3.5,0,0,0,0,aa
100112 153147,SENSOR,0,0,0,112.9,3.5,0,0,0,0,aa
100112 153247,SENSOR,0,0,0,113.1,3.5,0,0,0,0,aa
100112 153347,SENSOR,0,0,0,113.2,3.5,0,0,0,0,aa
100112 153447,SENSOR,0,0,0,110.9,3.5,0,0,0,0,aa
100112 153547,SENSOR,0,0,0,108.3,3.5,0,0,0,0,aa
100112 153647,SENSOR,0,0,0,110.6,3.5,0,0,0,0,aa
100112 153747,SENSOR,0,0,0,115,3.6,0,0,0,0,aa
100112 153847,SENSOR,0,0,0,113.8,3.6,0,0,0,0,aa
100112 153947,SENSOR,0,0,0,110.4,3.5,0,0,0,0,aa
100112 154047,SENSOR,0,0,0,104.5,4,0,0,0,0,aa
100112 154147,SENSOR,0,0,0,98.8,4.3,0,0,0,0,aa
100112 154247,SENSOR,0,0,0,94,4.2,0,0,0,0,aa
100112 154347,SENSOR,0,0,0,94.2,4,0,0,0,0,aa
100112 154447,SENSOR,0,0,0,95.3,3.9,0,0,0,0,aa
100112 154547,SENSOR,0,0,0,82.8,4.1,0,0,0,0,aa
100112 154647,SENSOR,0,0,0,72.3,4,0,0,0,0,aa
100112 154747,SENSOR,0,0,0,58,4,0,0,0,0,aa
100112 154847,SENSOR,0,0,0,44,3.8,0,0,0,0,aa
100112 154947,SENSOR,0,0,0,30.1,3.6,0,0,0,0,aa
100112 155047,SENSOR,0,0,0,12.1,3.3,0,0,0,0,aa
100112 155147,SENSOR,0,0,0,349,3,0,0,0,0,aa
100112 155247,SENSOR,0,0,0,331,3.3,0,0,0,0,aa
100112 155347,SENSOR,0,0,0,325.7,3.1,0,0,0,0,aa
100112 155447,SENSOR,0,0,0,323.5,2.5,0,0,0,0,aa
100112 155547,SENSOR,0,0,0,327.3,2.4,0,0,0,0,aa
100112 155647,SENSOR,0,0,0,324.8,2.3,0,0,0,0,aa
100112 155747,SENSOR,0,0,0,324.9,2.6,0,0,0,0,aa
100112 155847,SENSOR,0,0,0,324.4,2.6,0,0,0,0,aa
100112 155947,SENSOR,0,0,0,324.8,2.3,0,0,0,0,aa
100112 160047,SENSOR,0,0,0,325.8,2.3,0,0,0,0,aa
100112 160147,SENSOR,0,0,0,323.2,2.3,0,0,0,0,aa
100112 160247,SENSOR,0,0,0,326.3,2.5,0,0,0,0,aa
100112 160347,SENSOR,0,0,0,327.7,2.5,0,0,0,0,aa
100112 160447,SENSOR,0,0,0,330.7,2.4,0,0,0,0,aa
100112 160547,SENSOR,0,0,0,329.7,2.4,0,0,0,0,aa
100112 160647,SENSOR,0,0,0,328.1,2.6,0,0,0,0,aa
100112 160747,SENSOR,0,0,0,326.7,2.5,0,0,0,0,aa
100112 160847,SENSOR,0,0,0,329.9,2.6,0,0,0,0,aa
100112 160947,SENSOR,0,0,0,332.6,2.6,0,0,0,0,aa
100112 161047,SENSOR,0,0,0,330.9,2.6,0,0,0,0,aa
100112 161147,SENSOR,0,0,0,326.2,2.6,0,0,0,0,aa
100112 161247,SENSOR,0,0,0,324.4,2.6,0,0,0,0,aa
100112 161347,SENSOR,0,0,0,329.4,2.6,0,0,0,0,aa
100112 161447,SENSOR,0,0,0,331,2.7,0,0,0,0,aa
100112 161547,SENSOR,0,0,0,327.1,2.7,0,0,0,0,aa
100112 161647,SENSOR,0,0,0,333.5,2.7,0,0,0,0,aa
100112 161747,SENSOR,0,0,0,331.3,2.6,0,0,0,0,aa
100112 161847,SENSOR,0,0,0,329.4,2.6,0,0,0,0,aa
100112 161947,SENSOR,0,0,0,330.1,2.8,0,0,0,0,aa
100112 162047,SENSOR,0,0,0,332.4,2.9,0,0,0,0,aa
100112 162147,SENSOR,0,0,0,335,3,0,0,0,0,aa
100112 162247,SENSOR,0,0,0,331.4,2.7,0,0,0,0,aa
100112 162347,SENSOR,0,0,0,328,2.6,0,0,0,0,aa
100112 162447,SENSOR,0,0,0,329.5,2.9,0,0,0,0,aa
100112 162547,SENSOR,0,0,0,331.9,2.9,0,0,0,0,aa
100112 162647,SENSOR,0,0,0,334.2,2.8,0,0,0,0,aa
100112 162747,SENSOR,0,0,0,330.2,2.7,0,0,0,0,aa
100112 162847,SENSOR,0,0,0,325.8,2.6,0,0,0,0,aa
100112 162947,SENSOR,0,0,0,328.4,2.7,0,0,0,0,aa
100112 163047,SENSOR,0,0,0,332.4,2.9,0,0,0,0,aa
100112 163147,SENSOR,0,0,0,332.6,2.6,0,0,0,0,aa
100112 163247,SENSOR,0,0,0,333.1,2.6,0,0,0,0,aa
100112 163347,SENSOR,0,0,0,331.6,2.6,0,0,0,0,aa
100112 163447,SENSOR,0,0,0,327.2,2.6,0,0,0,0,aa
100112 163547,SENSOR,0,0,0,331.4,2.7,0,0,0,0,aa
100112 163647,SENSOR,0,0,0,334.3,2.6,0,0,0,0,aa
100112 163747,SENSOR,0,0,0,333.1,2.6,0,0,0,0,aa
100112 163847,SENSOR,0,0,0,329.4,2.6,0,0,0,0,aa
100112 163947,SENSOR,0,0,0,328.1,2.6,0,0,0,0,aa
100112 164047,SENSOR,0,0,0,331.6,2.6,0,0,0,0,aa
100112 164147,SENSOR,0,0,0,334.3,2.6,0,0,0,0,aa
100112 164247,SENSOR,0,0,0,333.1,2.6,0,0,0,0,aa
100112 164347,SENSOR,0,0,0,330.7,2.7,0,0,0,0,aa
100112 164447,SENSOR,0,0,0,331.9,2.7,0,0,0,0,aa
100112 164547,SENSOR,0,0,0,332.6,2.8,0,0,0,0,aa
100112 164647,SENSOR,0,0,0,334.7,2.8,0,0,0,0,aa
100112 164747,SENSOR,0,0,0,332.8,2.8,0,0,0,0,aa
100112 164847,SENSOR,0,0,0,335.5,3.1,0,0,0,0,aa
100112 164947,SENSOR,0,0,0,340.9,3.4,0,0,0,0,aa
100112 165047,SENSOR,0,0,0,343.5,3.4,0,0,0,0,aa
100112 165149,SENSOR,0,0,0,343.5,3.4,0,0,0,0,aa
100112 165249,SENSOR,0,0,0,18.3,3.4,0,0,0,0,aa
100112 165349,SENSOR,0,0,0,30.8,3.7,0,0,0,0,aa
100112 165449,SENSOR,0,0,0,42.8,3.7,0,0,0,0,aa
100112 165549,SENSOR,0,0,0,52.8,3.8,0,0,0,0,aa
100112 165649,SENSOR,0,0,0,65.2,3.8,0,0,0,0,aa
100112 165749,SENSOR,0,0,0,76.2,3.6,0,0,0,0,aa
100112 165849,SENSOR,0,0,0,79.3,3.5,0,0,0,0,aa
100112 165949,SENSOR,0,0,0,80.4,3.5,0,0,0,0,aa
100112 170049,SENSOR,0,0,0,73.2,4.5,0,0,0,0,aa
100112 170149,SENSOR,0,0,0,77.1,5.2,0,0,0,0,aa
100112 170249,SENSOR,0,0,0,80.6,5.7,0,0,0,0,aa
100112 170349,SENSOR,0,0,0,79.8,6.1,0,0,0,0,aa
100112 170449,SENSOR,0,0,0,81.4,6.3,0,0,0,0,aa
100112 170549,SENSOR,0,0,0,83.4,6.3,0,0,0,0,aa
100112 170649,SENSOR,0,0,0,80.8,6.3,0,0,0,0,aa
100112 170749,SENSOR,0,0,0,84.1,6.4,0,0,0,0,aa
100112 170849,SENSOR,0,0,0,79.5,6.4,0,0,0,0,aa
100112 170949,SENSOR,0,0,0,81.5,6.4,0,0,0,0,aa
100112 171049,SENSOR,0,0,0,79.5,6.3,0,0,0,0,aa
100112 171149,SENSOR,0,0,0,79.9,6.2,0,0,0,0,aa
100112 171249,SENSOR,0,0,0,82.5,6.1,0,0,0,0,aa
100112 171349,SENSOR,0,0,0,79.3,6.2,0,0,0,0,aa
100112 171449,SENSOR,0,0,0,82.1,6.3,0,0,0,0,aa
100112 171549,SENSOR,0,0,0,76.9,6.4,0,0,0,0,aa
100112 171649,SENSOR,0,0,0,80.9,6.4,0,0,0,0,aa
100112 171749,SENSOR,0,0,0,78.4,6.4,0,0,0,0,aa
100112 171849,SENSOR,0,0,0,79.6,6.4,0,0,0,0,aa
100112 171949,SENSOR,0,0,0,80.3,6.5,0,0,0,0,aa
100112 172049,SENSOR,0,0,0,74.6,6.5,0,0,0,0,aa
100112 172149,SENSOR,0,0,0,81,6.5,0,0,0,0,aa
100112 172249,SENSOR,0,0,0,73.4,6.6,0,0,0,0,aa
100112 172349,SENSOR,0,0,0,82.3,6.4,0,0,0,0,aa
100112 172449,SENSOR,0,0,0,74.6,6.5,0,0,0,0,aa
100112 172549,SENSOR,0,0,0,81.6,6.4,0,0,0,0,aa
100112 172649,SENSOR,0,0,0,77.1,6.5,0,0,0,0,aa
100112 172749,SENSOR,0,0,0,79.6,6.4,0,0,0,0,aa
100112 172849,SENSOR,0,0,0,80.2,6.4,0,0,0,0,aa
100112 172949,SENSOR,0,0,0,77,6.4,0,0,0,0,aa
100112 173049,SENSOR,0,0,0,82.2,6.4,0,0,0,0,aa
100112 173149,SENSOR,0,0,0,75.7,6.4,0,0,0,0,aa
100112 173249,SENSOR,0,0,0,83.5,6.4,0,0,0,0,aa
100112 173349,SENSOR,0,0,0,78.2,6.3,0,0,0,0,aa
100112 173449,SENSOR,0,0,0,82.1,6.3,0,0,0,0,aa
100112 173549,SENSOR,0,0,0,75.6,6.4,0,0,0,0,aa
100112 173649,SENSOR,0,0,0,80.1,6.3,0,0,0,0,aa
100112 173749,SENSOR,0,0,0,77.5,6.4,0,0,0,0,aa
100112 173849,SENSOR,0,0,0,79.4,6.3,0,0,0,0,aa
100112 173949,SENSOR,0,0,0,81.4,6.3,0,0,0,0,aa
100112 174049,SENSOR,0,0,0,73.7,6.4,0,0,0,0,aa
100112 174149,SENSOR,0,0,0,82.1,6.3,0,0,0,0,aa
100112 174249,SENSOR,0,0,0,73.7,6.4,0,0,0,0,aa
100112 174349,SENSOR,0,0,0,82.1,6.3,0,0,0,0,aa
100112 174449,SENSOR,0,0,0,77.5,6.3,0,0,0,0,aa
100112 174549,SENSOR,0,0,0,82.1,6.3,0,0,0,0,aa
100112 174649,SENSOR,0,0,0,75.1,6.5,0,0,0,0,aa
100112 174749,SENSOR,0,0,0,80.2,6.4,0,0,0,0,aa
100112 174849,SENSOR,0,0,0,79.6,6.4,0,0,0,0,aa
100112 174949,SENSOR,0,0,0,78.3,6.4,0,0,0,0,aa
100112 175049,SENSOR,0,0,0,92.6,6.4,0,0,0,0,aa
100112 175149,SENSOR,0,0,0,86.8,6.4,0,0,0,0,aa
100112 175249,SENSOR,0,0,0,90.6,6.4,0,0,0,0,aa
100112 175349,SENSOR,0,0,0,89.4,6.5,0,0,0,0,aa
