date,x,y,x,bearing,sensor
100112 145342,0,0,0,221.5,FS
100112 145412,0,0,0,221.9,FS
100112 145436,0,0,0,222,FS
100112 145504,0,0,0,221.9,FS
100112 145524,0,0,0,222.6,FS
100112 145556,0,0,0,222.6,FS
100112 145626,0,0,0,222.6,FS
100112 145654,0,0,0,222.8,FS
100112 145736,0,0,0,222.6,FS
100112 145814,0,0,0,222.6,FS
100112 145844,0,0,0,222.9,FS
100112 145910,0,0,0,222.8,FS
100112 145950,0,0,0,222.7,FS
100112 150028,0,0,0,222.8,FS
100112 150100,0,0,0,223,FS
100112 150126,0,0,0,222.9,FS
100112 150154,0,0,0,222.6,FS
100112 150232,0,0,0,222.8,FS
100112 150302,0,0,0,223.3,FS
100112 150336,0,0,0,223.5,FS
100112 150408,0,0,0,223.6,FS
100112 150436,0,0,0,223.4,FS
100112 150505,0,0,0,223.2,FS
100112 150539,0,0,0,222.8,FS
100112 150607,0,0,0,223.2,FS
100112 150635,0,0,0,223.1,FS
100112 150705,0,0,0,223.5,FS
100112 150729,0,0,0,224.2,FS
100112 150753,0,0,0,224,FS
100112 150821,0,0,0,223.9,FS
100112 150855,0,0,0,223.3,FS
100112 150931,0,0,0,222.9,FS
100112 151005,0,0,0,222.7,FS
100112 151043,0,0,0,223.2,FS
100112 151129,0,0,0,223.6,FS
100112 151149,0,0,0,223.7,FS
100112 151215,0,0,0,223.9,FS
100112 151251,0,0,0,224.2,FS
100112 151331,0,0,0,223.6,FS
100112 151401,0,0,0,223.4,FS
100112 151445,0,0,0,223.8,FS
100112 151527,0,0,0,224,FS
100112 151601,0,0,0,223.6,FS
100112 151635,0,0,0,224,FS
100112 151721,0,0,0,224.2,FS
100112 151759,0,0,0,223.8,FS
100112 151831,0,0,0,223.6,FS
100112 151905,0,0,0,223.6,FS
100112 151937,0,0,0,224.2,FS
100112 152011,0,0,0,224.1,FS
100112 152037,0,0,0,224,FS
100112 152123,0,0,0,224.5,FS
100112 152159,0,0,0,223.9,FS
100112 152231,0,0,0,224.1,FS
100112 152301,0,0,0,224.9,FS
100112 152333,0,0,0,224.1,FS
100112 152405,0,0,0,223.9,FS
100112 152435,0,0,0,224,FS
100112 152509,0,0,0,223.8,FS
100112 152535,0,0,0,224.2,FS
100112 152603,0,0,0,224.2,FS
100112 152635,0,0,0,224.2,FS
100112 152719,0,0,0,224.4,FS
100112 152747,0,0,0,224.6,FS
100112 152813,0,0,0,224.9,FS
100112 152847,0,0,0,224.8,FS
100112 152913,0,0,0,224.4,FS
100112 152951,0,0,0,224.4,FS
100112 153017,0,0,0,224.5,FS
100112 153057,0,0,0,224.4,FS
100112 153127,0,0,0,224.1,FS
100112 153205,0,0,0,224.7,FS
100112 153243,0,0,0,224.7,FS
100112 153323,0,0,0,224.7,FS
100112 153409,0,0,0,223.9,FS
100112 153445,0,0,0,224.3,FS
100112 153525,0,0,0,224,FS
100112 153601,0,0,0,223.8,FS
100112 153623,0,0,0,223.6,FS
100112 153647,0,0,0,223.5,FS
100112 153717,0,0,0,223.4,FS
100112 153751,0,0,0,223.3,FS
100112 153823,0,0,0,223.2,FS
100112 153851,0,0,0,223.1,FS
100112 153941,0,0,0,223.1,FS
100112 154011,0,0,0,223.6,FS
100112 154043,0,0,0,223.7,FS
100112 154109,0,0,0,223.7,FS
100112 154129,0,0,0,223.7,FS
100112 154151,0,0,0,222.1,FS
100112 154215,0,0,0,222.1,FS
100112 154239,0,0,0,222.2,FS
100112 154307,0,0,0,221.5,FS
100112 154333,0,0,0,221.5,FS
100112 154407,0,0,0,221.6,FS
100112 154439,0,0,0,221.7,FS
100112 154503,0,0,0,221.4,FS
100112 154517,0,0,0,221.4,FS
100112 154537,0,0,0,221.1,FS
100112 154557,0,0,0,220.3,FS
100112 154623,0,0,0,218.7,FS
100112 154645,0,0,0,220.6,FS
100112 154707,0,0,0,222.3,FS
100112 154721,0,0,0,223.4,FS
100112 154731,0,0,0,225.3,FS
100112 154910,0,0,0,209.8,FP
100112 154926,0,0,0,211.5,FP
100112 154942,0,0,0,213.2,FP
100112 154950,0,0,0,214.6,FP
100112 155002,0,0,0,215.2,FP
100112 155018,0,0,0,217.4,FP
100112 155036,0,0,0,219,FP
100112 155054,0,0,0,219.6,FP
100112 155116,0,0,0,218.2,FP
100112 155134,0,0,0,218.8,FP
100112 155146,0,0,0,219.1,FP
100112 155208,0,0,0,218.7,FP
100112 155224,0,0,0,218,FP
100112 155242,0,0,0,218.2,FP
100112 155300,0,0,0,218.5,FP
100112 155330,0,0,0,217.8,FP
100112 155348,0,0,0,217.3,FP
100112 155404,0,0,0,217.5,FP
100112 155424,0,0,0,217.6,FP
100112 155444,0,0,0,216.8,FP
100112 155458,0,0,0,216.7,FP
100112 155522,0,0,0,216.7,FP
100112 155542,0,0,0,216.7,FP
100112 155558,0,0,0,216.8,FP
100112 155622,0,0,0,216.4,FP
100112 155640,0,0,0,215.7,FP
100112 155710,0,0,0,213.8,FP
100112 155726,0,0,0,213.9,FP
100112 155754,0,0,0,214.4,FP
100112 155812,0,0,0,214.3,FP
100112 155838,0,0,0,214.4,FP
100112 155856,0,0,0,214.8,FP
100112 155906,0,0,0,214.7,FP
100112 155926,0,0,0,214.6,FP
100112 155942,0,0,0,213.8,FP
100112 160004,0,0,0,214.2,FP
100112 160030,0,0,0,214.3,FP
100112 160056,0,0,0,214.5,FP
100112 160124,0,0,0,213.7,FP
100112 160140,0,0,0,213.9,FP
100112 160200,0,0,0,213.4,FP
100112 160230,0,0,0,212.6,FP
100112 160248,0,0,0,212.4,FP
100112 160306,0,0,0,212.3,FP
100112 160324,0,0,0,212,FP
100112 160340,0,0,0,211.9,FP
100112 160356,0,0,0,212.2,FP
100112 160416,0,0,0,212.4,FP
100112 160432,0,0,0,211.7,FP
100112 160452,0,0,0,211.7,FP
100112 160516,0,0,0,211.3,FP
100112 160532,0,0,0,211.4,FP
100112 160552,0,0,0,211.3,FP
100112 160618,0,0,0,210.5,FP
100112 160640,0,0,0,210.8,FP
100112 160706,0,0,0,210.3,FP
100112 160728,0,0,0,209.6,FP
100112 160748,0,0,0,209.4,FP
100112 160806,0,0,0,209.2,FP
100112 160828,0,0,0,208.8,FP
100112 160846,0,0,0,209,FP
100112 160908,0,0,0,208.7,FP
100112 160936,0,0,0,208.6,FP
100112 161000,0,0,0,208.3,FP
100112 161022,0,0,0,208.6,FP
100112 161036,0,0,0,208.5,FP
100112 161102,0,0,0,208.1,FP
100112 161120,0,0,0,207.7,FP
100112 161140,0,0,0,207.2,FP
100112 161202,0,0,0,206.4,FP
100112 161216,0,0,0,206.2,FP
100112 161236,0,0,0,206,FP
100112 161250,0,0,0,205.8,FP
100112 161308,0,0,0,206.2,FP
100112 161322,0,0,0,206.1,FP
100112 161340,0,0,0,205.7,FP
100112 161358,0,0,0,206.2,FP
100112 161414,0,0,0,205.7,FP
100112 161432,0,0,0,205.6,FP
100112 161454,0,0,0,204.7,FP
100112 161514,0,0,0,204.9,FP
100112 161534,0,0,0,204.3,FP
100112 161548,0,0,0,204,FP
100112 161600,0,0,0,203.7,FP
100112 161618,0,0,0,203.8,FP
100112 161632,0,0,0,204,FP
100112 161652,0,0,0,203.8,FP
100112 161704,0,0,0,203.3,FP
100112 161726,0,0,0,203,FP
100112 161746,0,0,0,203.4,FP
100112 161802,0,0,0,203,FP
100112 161830,0,0,0,202.6,FP
100112 161852,0,0,0,201.9,FP
100112 161918,0,0,0,201.6,FP
100112 161936,0,0,0,201.7,FP
100112 161948,0,0,0,201.5,FP
100112 162002,0,0,0,201.6,FP
100112 162024,0,0,0,200.9,FP
100112 162044,0,0,0,201.4,FP
100112 162108,0,0,0,201.5,FP
100112 162138,0,0,0,201.2,FP
100112 162204,0,0,0,200.7,FP
100112 162240,0,0,0,200.7,FP
100112 162310,0,0,0,200,FP
100112 162342,0,0,0,199.4,FP
100112 162416,0,0,0,199.2,FP
100112 162440,0,0,0,199,FP
100112 162514,0,0,0,198.3,FP
100112 162536,0,0,0,198.5,FP
100112 162552,0,0,0,198.3,FP
100112 162626,0,0,0,198.8,FP
100112 162656,0,0,0,198.4,FP
100112 162724,0,0,0,197.6,FP
100112 162752,0,0,0,197.2,FP
100112 162818,0,0,0,196.7,FP
100112 162848,0,0,0,197.4,FP
100112 162916,0,0,0,198,FP
100112 162944,0,0,0,198.6,FP
100112 163008,0,0,0,198.6,FP
100112 163034,0,0,0,198.5,FP
100112 163102,0,0,0,197.4,FP
100112 163200,0,0,0,198.7,FP
100112 163242,0,0,0,199,FP
100112 163320,0,0,0,198.3,FP
100112 163354,0,0,0,198.1,FP
100112 163430,0,0,0,198,FP
100112 163506,0,0,0,198.4,FP
100112 163538,0,0,0,198.9,FP
100112 163608,0,0,0,199.4,FP
100112 163636,0,0,0,198.6,FP
100112 163708,0,0,0,198.3,FP
100112 163730,0,0,0,198.1,FP
100112 163756,0,0,0,197.8,FP
100112 163830,0,0,0,197.3,FP
100112 163906,0,0,0,197,FP
100112 163934,0,0,0,197,FP
100112 163956,0,0,0,196.7,FP
100112 164020,0,0,0,196.8,FP
100112 164032,0,0,0,196.9,FP
100112 164104,0,0,0,198.4,FP
100112 164202,0,0,0,197.7,FP
100112 164250,0,0,0,196.7,FP
100112 164330,0,0,0,195.6,FP
100112 164402,0,0,0,195.7,FP
100112 164448,0,0,0,196.4,FP
100112 164526,0,0,0,195.8,FP
100112 164600,0,0,0,196.7,FP
100112 164632,0,0,0,197.4,FP
100112 164704,0,0,0,196.9,FP
100112 164738,0,0,0,195.9,FP
100112 164802,0,0,0,196.1,FP
100112 164828,0,0,0,196.9,FP
100112 164848,0,0,0,197.4,FP
100112 164930,0,0,0,198.2,FP
100112 165002,0,0,0,197.4,FP
100112 165034,0,0,0,198.1,FP
100112 165054,0,0,0,197.4,FP
100112 165132,0,0,0,198.7,FP
100112 165158,0,0,0,195.2,FP
100112 165212,0,0,0,193.3,FP
100112 165222,0,0,0,193.3,FP
100112 165307,0,0,0,196.7,FP
100112 165333,0,0,0,196.7,FP
100112 165351,0,0,0,195.2,FP
100112 165418,0,0,0,194.6,FP
100112 165450,0,0,0,194.7,FP
100112 165536,0,0,0,196.1,FP
100112 165616,0,0,0,194.2,FP
100112 165658,0,0,0,196.3,FP
100112 165724,0,0,0,197,FP
